,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
SMR,,,,1.3479381723676487,,,0.5,0.5,0.5,0.9933993399339934,0.5,0.5,0.6103547854785479
SNN,34.241536,,,0.03686904341683994,-0.07537887646886876,,0.25769230769230766,0.5,0.5,0.37623762376237624,0.31932773109243695,0.5,0.3429818172508912
SNY,23.01033936115108,,,0.041723553016139725,-0.02616488100164649,,0.5038461538461538,0.5,0.5,0.40594059405940597,0.3865546218487395,0.5,0.3826891502983525
SO,23.025375949102475,,,0.049578795021417044,0.2146435864561691,,0.5,0.5,0.5,0.429042904290429,0.8109243697478992,0.5,0.5279893640624566
SONY,0.15556674018220043,,,0.09305722538118655,0.09848511615442801,,0.9846153846153847,0.5,0.5,0.6567656765676567,0.6050420168067226,0.5,0.5512413465005195
SOON.SW,24.063759393154488,,,0.04741097884382506,-0.04519828729279718,,0.4807692307692307,0.5,0.5,0.42244224422442245,0.36134453781512604,0.5,0.3790896785218276
STBA,11.296551677903478,,,0.04047473165655724,0.06956649883454258,,0.8384615384615385,0.5,0.5,0.39603960396039606,0.5462184873949579,0.5,0.4425159309725413
STEM,,,,0.04315751802267087,,,0.5,0.5,0.5,0.41254125412541254,0.5,0.5,0.4215759075907591
SVNDY,0.182176491829801,,,0.11019572789742682,-0.05745241581934635,,0.9807692307692307,0.5,0.5,0.7425742574257426,0.35294117647058826,0.5,0.49706815704194857
SWKS,21.357718884929785,,,-0.09344825684967506,-0.2671255056326137,,0.5692307692307692,0.5,0.5,0.0462046204620462,0.07142857142857142,0.5,0.16553847967214302
SYK,47.59085058737053,,,0.0971627003159552,0.14109628465877821,,0.12692307692307692,0.5,0.5,0.6864686468646864,0.7142857142857143,0.5,0.5678092699379829
SYY,19.793621986870896,,,0.058369827149891584,0.12028878543683175,,0.6153846153846154,0.5,0.5,0.47854785478547857,0.6638655462184874,0.5,0.5001305091724427
T,16.736098864450128,,,-0.029991710302717633,-0.18672860022549775,,0.7038461538461538,0.5,0.5,0.11221122112211221,0.13445378151260504,0.5,0.2119609976511549
